,name,code,now,closePrice,openPrice,volume,bid_volume,ask_volume,bid1,bid1_volume,bid2,bid2_volume,bid3,bid3_volume,bid4,bid4_volume,bid5,bid5_volume,ask1,ask1_volume,ask2,ask2_volume,ask3,ask3_volume,ask4,ask4_volume,ask5,ask5_volume,最近逐笔成交,datetime,涨跌,涨跌(%),highestPrice,lowestPrice,价格/成交量(手)/成交额,turnoverVol,turnoverValue,turnover,PE,unknown,high_2,low_2,振幅,流通市值,总市值,PB,涨停价,跌停价,quantityRatio,委差,均价,PE1,PE2,chgPct,turnoverRate,marketValue,negMarketValue
000732,泰禾集团,000732,3.02,2.93,2.87,237029300.0,113858000,123171300.0,3.01,637000,3.0,956100,2.99,151200,2.98,253900,2.97,45200,3.02,161800,3.03,828300,3.04,430400,3.05,721200,3.06,182500,,2022-03-23 16:14:03,0.09,3.07,3.22,2.8,3.02/2370293/702324778,237029300,702320000.0,9.54,-1.98,,3.22,2.8,14.33,75.07,75.16,0.56,3.22,2.64,1.37,-2808.0,2.96,-7.4,-1.5,0.030699999999999998,0.09539999999999998,7516000000.0,7506999999.999999
300443,金雷股份,300443,37.34,35.88,36.67,12256400.0,6500500,5755800.0,37.33,3000,37.32,1500,37.3,5100,37.29,2200,37.28,700,37.34,25600,37.35,8600,37.36,5400,37.38,3500,37.39,5900,,2022-03-23 16:14:03,1.46,4.07,37.89,35.8,37.34/122564/455160099,12256400,455160000.0,6.65,19.69,,37.89,35.8,5.82,68.81,97.74,3.0,43.06,28.7,1.74,-365.0,37.14,19.69,19.69,0.0407,0.0665,9774000000.0,6881000000.0
300772,运达股份,300772,36.86,35.12,35.53,17960400.0,10140800,7819500.0,36.85,75500,36.82,3200,36.81,5900,36.8,100,36.79,1600,36.86,3100,36.87,6400,36.88,2700,36.89,5000,36.9,31900,,2022-03-23 16:14:03,1.74,4.95,38.1,35.2,36.86/179604/663661874,17960400,663660000.0,9.35,25.51,,38.1,35.2,8.26,70.83,124.95,4.59,42.14,28.1,1.55,372.0,36.95,25.51,25.51,0.0495,0.0935,12495000000.0,7083000000.0
600129,太极集团,600129,20.24,19.52,19.35,29119200.0,15968700,13150500.0,20.23,9300,20.22,31500,20.21,3000,20.2,32200,20.19,20300,20.24,13000,20.25,23700,20.26,1600,20.27,15800,20.28,25000,,2022-03-23 15:59:17,0.72,3.69,20.95,19.15,20.24/291192/589414615,29119200,589410000.0,5.23,37.84,,20.95,19.15,9.22,112.71,112.71,3.23,21.47,17.57,1.0,172.0,20.24,34.08,170.61,0.0369,0.052300000000000006,11271000000.0,11271000000.0
